OLD-RGB(255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB(255,242,0) 	 NEW-RGB(251,238,35)
OLD-RGB(255,0,0) 	 NEW-RGB(237,33,36)
OLD-RGB(255,255,0) 	 NEW-RGB(247,236,15)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)
OLD-RGB255,67,0) 	 NEW-RGB(240,73,35)

