OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(5,4,4) 	 NEW-RGB(6,5,5)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(5,4,4) 	 NEW-RGB(6,5,5)
OLD-RGB(5,4,4) 	 NEW-RGB(6,5,5)
OLD-RGB(5,4,4) 	 NEW-RGB(6,5,5)
OLD-RGB(5,4,4) 	 NEW-RGB(6,5,5)
OLD-RGB(5,4,4) 	 NEW-RGB(6,5,5)
OLD-RGB(226,38,51) 	 NEW-RGB(227,39,51)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(238,32,46) 	 NEW-RGB(238,37,48)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(252,218,25) 	 NEW-RGB(250,218,21)
OLD-RGB(252,218,25) 	 NEW-RGB(250,218,21)
OLD-RGB(252,218,25) 	 NEW-RGB(250,218,21)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(254,254,254) 	 NEW-RGB(255,255,255)
OLD-RGB(254,254,254) 	 NEW-RGB(255,255,255)
OLD-RGB(254,254,254) 	 NEW-RGB(255,255,255)
OLD-RGB(254,254,254) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(54,54,57) 	 NEW-RGB(55,54,57)
OLD-RGB(54,54,57) 	 NEW-RGB(55,54,57)
OLD-RGB(180,180,181) 	 NEW-RGB(181,180,181)
OLD-RGB(147,149,152) 	 NEW-RGB(148,149,152)
OLD-RGB(180,180,181) 	 NEW-RGB(181,180,181)
OLD-RGB(147,149,152) 	 NEW-RGB(148,149,152)
OLD-RGB(147,149,152) 	 NEW-RGB(148,149,152)
OLD-RGB(180,180,181) 	 NEW-RGB(181,180,181)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(0,0,0) 	 NEW-RGB(0,0,0)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(137,255,0) 	 NEW-RGB(154,202,60)
OLD-RGB(137,255,0) 	 NEW-RGB(154,202,60)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
OLD-RGB(137,255,0) 	 NEW-RGB(154,202,60)
OLD-RGB(137,255,0) 	 NEW-RGB(154,202,60)
OLD-RGB(137,255,0) 	 NEW-RGB(154,202,60)
OLD-RGB(255,255,255) 	 NEW-RGB(255,255,255)
